City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Bundaberg,AU,-24.85,152.35,75.99,88,0,8.05,clear sky
173,Rudnogorsk,RU,57.26,103.75,5.65,96,100,3.4,overcast clouds
174,Pisco,PE,-13.7,-76.22,73.4,69,0,16.11,light rain
175,Sitka,US,57.05,-135.33,39.2,86,75,5.82,broken clouds
176,Cayenne,GF,4.93,-52.33,84.2,74,40,9.17,scattered clouds
177,Nokaneng,BW,-19.67,22.27,73.13,72,100,7.74,overcast clouds
178,Ancud,CL,-41.87,-73.82,55.4,58,90,5.82,overcast clouds
179,Maxixe,MZ,-23.86,35.35,77.0,94,75,2.24,broken clouds
180,Solano,US,38.23,-121.95,64.0,36,1,3.36,clear sky
181,Lengshuitan,CN,26.41,111.6,46.81,73,100,7.16,overcast clouds
182,Montargis,FR,47.83,2.75,37.99,89,0,7.07,clear sky
183,Port Hardy,CA,50.7,-127.42,44.6,87,90,19.46,light rain
184,Corinto,GR,37.94,22.96,57.0,70,99,1.99,overcast clouds
185,Coahuayana,MX,18.73,-103.68,78.8,78,75,11.41,broken clouds
186,Majene,ID,-3.54,118.97,78.73,77,86,3.8,light rain
187,Athabasca,CA,54.72,-113.29,21.2,67,64,6.93,broken clouds
188,Kyaikkami,MM,16.08,97.57,77.31,72,12,5.88,few clouds
189,Buta,CD,2.79,24.73,70.36,94,21,2.84,few clouds
190,Sorland,NO,67.67,12.69,44.6,87,75,28.86,broken clouds
191,Bluefield,US,37.27,-81.22,52.0,53,1,9.17,clear sky
192,Joao Pinheiro,BR,-17.74,-46.17,78.06,60,58,3.98,broken clouds
193,Bambous Virieux,MU,-20.34,57.76,75.2,83,40,6.93,scattered clouds
194,Aksu,CN,41.12,80.26,22.8,87,0,2.77,clear sky
195,Port Elizabeth,ZA,-33.92,25.57,59.0,87,0,5.82,clear sky
196,Xining,CN,36.62,101.77,24.48,88,99,0.74,light snow
197,Roald,NO,62.58,6.13,46.99,65,75,12.75,broken clouds
198,Ljubinje,BA,42.95,18.09,55.4,66,20,11.41,few clouds
199,Isangel,VU,-19.55,169.27,74.64,63,2,8.14,clear sky
200,Tirumullaivasal,IN,11.23,79.83,77.47,87,15,9.71,light rain
201,Walvis Bay,NA,-22.96,14.51,59.0,82,0,6.93,clear sky
202,Angoche,MZ,-16.23,39.91,79.77,84,3,5.5,clear sky
203,Karaton,ID,-6.34,106.1,77.0,88,40,5.82,light rain
204,Wamba,NG,8.93,8.6,77.68,31,81,3.58,broken clouds
205,Floro,NO,61.6,5.03,44.6,81,75,23.04,broken clouds
206,Cockburn Town,TC,21.46,-71.14,80.6,61,40,6.93,scattered clouds
